Keyword,Score
medicare advantage,0.00024180755655305557
medicare advantage penetration,0.00044831652418979095
medicare advantage plans,0.0005501011101839214
medicare,0.0011496768148716518
original medicare,0.0012363999123455845
medicare supplement,0.0013918755772280005
insights medicare advantage,0.0024145784878023056
advantage,0.002541603907396868
medicare advantage enrollment,0.0025731254462864244
medicare advantage offering,0.0029556800465931014
advantage penetration,0.004607456332659674
medicare advantage employer,0.0050732455283753
growth medicare advantage,0.005123141746014177
advantage plans,0.005650691175855551
average medicare advantage,0.005722646665268044
medicare supplement plan,0.00599370587313123
medicare plan finder,0.006231139753009826
medicare supplement policy,0.006803759176570602
management medicare advantage,0.006825191835149393
executive insights medicare,0.006960859192598886
medicare advantage reimbursement,0.007019995019547329
medicare advantage market,0.007022604536857553
shows medicare advantage,0.0070371372500032565
march medicare advantage,0.007080513456747906
lagged medicare advantage,0.007859518559999012
executive insights,0.007887266699307494
support medicare advantage,0.007953841388722193
pennsylvania pennsylvania pennsylvania,0.008257727433960867
expect medicare advantage,0.008541966360243205
original medicare eligibles,0.009290483379175572
medicare advantage 25-30,0.009641831951794914
join medicare advantage,0.00971298030122708
penetration,0.011141354696776684
medicare supplement employer,0.011318701065715319
work executive insights,0.011406861486930932
original,0.012876229033867526
medicare supplement choices,0.01342378185219826
medicare plan,0.013779919647536162
supplement,0.014482028997282428
medicare eligibles,0.014564440702512565
increase medicare supplement,0.014631551863012921
pennsylvania pennsylvania,0.015487979911239175
penetration growth medicare,0.016454320052549008
medicare part,0.018342501902536012
medicare supplement members,0.018367568892134062
plans,0.020321319189708035
medicare modernization act,0.020629440458660882
insights,0.02093942090128874
original medicare doesn,0.02123623042731634
original medicare 15-25,0.021278654262341407
eschew original medicare,0.02146895536484975
plan,0.02188449758891635
bans medicare supplement,0.022494778996582154
medicare supplement insurers,0.02257502014288178
popular medicare supplement,0.02259076804840491
medicare supplement purchasers,0.02260593766334698
medicare supplement buying,0.02262056433046208
change medicare supplement,0.022620564330462084
insights medicare,0.02426314448022811
volume xix,0.02427500747102283
healthcare,0.024362876443190858
advantage penetration rate,0.024873282183053257
annual medicare part,0.025441970584727525
advantage enrollment,0.025918576494254216
pennsylvania,0.026836906147833493
figure,0.026999974426328628
executive insights volume,0.027804322070225287
advantage plan options,0.02895686386099737
executive,0.029308734243410604
advantage offering,0.02958863632038828
health,0.02980736640114338
consulting,0.03154706994423327
advantage plans yield,0.03422727454472024
insights volume xix,0.03483395327689914
medicare marketplace,0.03509340664434307
advantage plans provide,0.035199729479016055
advantage employer group,0.03650435385593329
healthcare services,0.03672816605764056
care management medicare,0.036962585425335134
care,0.03698927177891056
health plans,0.03776348013987022
healthcare services practice,0.03872408585346507
seniors,0.03901567272969458
work executive,0.03960262681976804
medicare beneficiaries,0.040451325841152505
eligibles,0.04440711263522852
advantage enrollment trend,0.04446634157335443
medicare modernization,0.04877178071479932
executive insights driving,0.04910623403701139
growth medicare,0.050318859664299075
advantage employer,0.051132015207152944
annual medicare,0.05353008562259788
medicare access,0.054947630577181515
average medicare,0.05592781425330173
growth,0.056464760667386316
enrollment,0.05669681447801213
dual eligibles,0.05926521622703377
supplement plans,0.061212443366359844
costs,0.06145601074717558
services,0.0625923183522276
increase medicare,0.06279203354227306
plan finder,0.06291281922936039
issue,0.06344318883207736
xix,0.0641346542170155
medicare product offering,0.06416281465606596
retail health insurance,0.06553355636972756
management medicare,0.06609898855414806
supplement plan options,0.06679662986391623
healthcare costs,0.06715917409502593
medicare eligibles individuals,0.06724722757653478
medicare product,0.06729381738016768
volume,0.06750652089278644
supplement policy,0.06789465243962838
government supports medicare,0.06798818525787342
shows medicare,0.0680331484082478
march medicare,0.06842816020788524
managing director,0.06953801053526396
advantage reimbursement,0.06965404829963237
advantage market,0.06967849004739894
dual,0.07353685338661242
advantage is marching,0.07453124974114861
lagged medicare,0.07547476793704781
support medicare,0.07632191504301605
advantage enrollment rising,0.07781560958988783
expect medicare,0.08157487838810584
increased,0.08210303952022285
supplement employer group,0.08301039555496939
supplement plans face,0.08343592705546396
employer,0.08394463188169884
services practice,0.08527598647100633
act,0.08671959736189712
model shows medicare,0.09068883276522471
bans medicare,0.09101334085836689
medicare doesn,0.09111185860172132
medicare 15-25,0.0912654370165866
medicare enrollees,0.09128469038917918
popular medicare,0.09133790752382412
change medicare,0.09143856520706194
encompass medicare,0.09161981942904787
join medicare,0.09188641218679754
predominant medicare,0.09213367386240738
health foundation notes,0.09237102044997958
insights volume,0.09267268123318287
advantage 25-30,0.09370858948416504
part,0.093840893725599
continue,0.0959283949160187
offering,0.09641477137324223
years,0.0979355220055301
source,0.09810523606255492
reduced average medicare,0.09855926367697257
americas healthcare services,0.10030560178054289
group,0.10365988407003977
medicare or medicare,0.10400401366552128
medicare and medicare,0.10400401366552128
advantage vs. medicare,0.10512355876669341
affordable care act,0.1122135896850534
points,0.11279143438527782
supplement employer,0.11373189776404763
pennsylvania county,0.11633260320102123
trend,0.1176195873333108
steady,0.11917684713240087
penetration rate,0.11973931597453114
page,0.12133362148138617
care management,0.12178754745002837
note,0.12206229298995382
year,0.12241940250691263
mark farrah,0.12255733984050995
florida pennsylvania,0.12311310731198116
percentage,0.12324918342274536
puerto rico,0.1250638545285958
analysis,0.12616114205425477
advantage market matures,0.12705520908828358
oregon,0.1271714926917963
andrew,0.12774161410187126
care coordination,0.12875719521259063
coverage,0.13095854987921374
management,0.13153388653471237
payers,0.13267153477940022
slow,0.1327654234581574
percentage points,0.13316308136798743
supplement choices,0.1340298436366762
work,0.13419270406153105
annual,0.1347415003418946
balanced budget act,0.13504966846662117
group retiree,0.13709097460338407
director,0.13848626020904511
managing,0.13848626020904511
plan options,0.13857029458025716
retiree,0.14056538769757312
york pennsylvania,0.1406399819907081
bill frack,0.14195964603197683
past,0.1436367235140069
steady growth,0.14478199882655587
principal,0.14520834743409528
advantage vs. original,0.14606386634987864
health insurance,0.14762550827475088
retail health,0.14762550827475088
united health foundation,0.14852202913583942
health coverage,0.15292202153759774
predominant medicare product,0.1537602997864356
health insurance market,0.15462818349661223
insights driving,0.15666216861874951
consulting llc,0.15675110438933113
andrew garibaldi,0.15899119527925604
penetrated the medicare,0.1596406802826932
andrew kadar,0.15980116807034697
annual healthcare costs,0.16017544383913723
cost,0.16388269532580155
care act,0.1643321776728641
plans like medicare,0.16461302610181597
plans to medicare,0.16479831448640814
marching,0.16487712219098327
penetration growth,0.16488496233812433
firm,0.16599862936777784
market,0.16861414731116878
practice,0.16931367007339548
approximately,0.1699292146495051
annual cost health,0.17048711817402665
employer group,0.17663643016536465
healthcare costs continue,0.17675673820155133
government,0.17721252241352942
estimated,0.17864315670087602
mark farrah associates,0.17931396891791276
health status,0.1798411150163038
supplement members,0.18070356433862303
notes,0.18309343948493073
state,0.18357556361556956
