Keyword,Score
gdp growth rate,0.0009937873231656911
real gdp growth,0.0012913697018854425
preliminary estimate,0.001379536639850447
gdp,0.0017013463346290732
real gdp,0.002229041464216246
previous year,0.0025805822333519178
gdp growth,0.0031965214342338406
gdp nominal gdp,0.0035818663499009537
japan real gdp,0.005135025474455876
nominal gdp,0.005551794859543643
year,0.006027802866670259
japan spotlight january,0.006470137672728849
trillion yen,0.006574901768170311
gdp level,0.006851863045731091
growth rate,0.007675658115070837
rate,0.00789768697688301
japan,0.007931571402777381
estimate,0.007937553398583578
preliminary,0.008423300611081845
gdp calendar year,0.009729828708396657
previous,0.00995763285240891
qtr,0.011217146497175843
estimate gdp,0.012082240012355019
gdp estimates,0.012082240012355019
gdp economic indicators,0.013239275416225103
statistics,0.013320008326501936
month,0.01426654403088603
real gdp nominal,0.01445743499437494
trillion,0.01586521697507761
sna,0.01588224409285497
annual estimates,0.01644074875711433
yen,0.01655199992749269
estimates,0.0168673009719901
japanese gdp,0.01717338810947082
japan spotlight,0.017385589443193402
nominal gdp calendar,0.018685259857061626
author nobuo iizuka,0.019489064055136687
iizuka author nobuo,0.01948906405513669
nobuo iizuka author,0.01948906405513669
quarter,0.01979858408648261
trade statistics,0.02091163536643218
increase,0.022022153867287893
term,0.02306597704036671
mar. apr. may.,0.023139510772818204
exports amount,0.023235095038133705
jul. aug. sep.,0.023282922946165664
aug. sep. oct.,0.023282922946165664
may. jun. jul.,0.023282922946165664
jun. jul. aug.,0.023282922946165664
apr. may. jun.,0.023282922946165664
sep. oct. sources,0.02358444765481909
released,0.023804982247591092
growth,0.023996397083585256
real,0.024485906054955462
japanese production gdp,0.024746277068942484
create preliminary estimates,0.025206581289099493
negative real gdp,0.025668131787481535
trade statistics imports,0.025913762047854907
sources calendar year,0.026028893791538957
exports,0.02616831570784458
estimates of gdp,0.026261417602053645
calendar year,0.026297063083192462
foreign trade statistics,0.027083118532230104
rate of previous,0.02714486114887467
imports,0.027208166715248307
amount,0.028410454095451995
japan japan,0.02853488268137751
ministry,0.029339981440037334
ministry of finance,0.0295122309175607
imports amount,0.030338040313181377
financial statements statistics,0.030713928797918656
statistics imports amount,0.03105407472042983
iizuka author,0.03220276477839118
finance japan spotlight,0.0340168169124239
spotlight january,0.03544588002506595
gdp calendar,0.03618644570059058
china,0.03781119208333661
japan foreign trade,0.03824089965036925
author nobuo,0.038287106197513514
gdp nominal,0.038862564016805504
trade statistics increase,0.04030719326453416
gdp economic,0.04041561126233372
month exports amount,0.04099166543404587
national accounts,0.041235601748809886
china rate,0.04138742591433373
imports china amount,0.04337893296797739
annual growth rate,0.04513906753279031
nominal gdp increased,0.045319813360546884
mar. apr.,0.04567508499046588
aug. sep.,0.04593555378876736
jun. jul.,0.04593555378876736
apr. may.,0.04593555378876736
may. jun.,0.04593555378876736
jul. aug.,0.04593555378876736
sep. oct.,0.04593555378876736
supply-side statistics,0.046129230359211036
oct. sources,0.04648235544553474
current gdp,0.04667856270353395
oct. sources calendar,0.04728601232444977
annual,0.049762288611683476
growth ratenominal gdp,0.051575798692749
gdp growth ratenominal,0.05157579869274901
production gdp,0.05172072197237713
benchmark year,0.05245310266066925
january,0.05301732904800682
previous year cpi,0.05456337649158789
statements statistics,0.05456902476841112
economic statistics,0.055201413561185
japan real,0.05598828496867059
current gdp estimations,0.05652595238475927
trade,0.05681403985138132
rate of increase,0.05801074780202746
nominal,0.06040588346913411
bank of japan,0.06055195247907478
revisions,0.061297301903366734
revision,0.061297301903366734
japan s gdp,0.062011946069540726
economic,0.0627260844050794
statistics bureau,0.06359531700351574
ratenominal gdp economic,0.06390772451214873
increase over previous,0.06473953617533788
statistics imports,0.06565524471832773
dec.,0.06904558837970814
changed recent records,0.06974433888216236
asia china,0.06986273932807152
gdp estimations,0.06998198353734979
exports rate,0.07081759332329522
economic indicators,0.07124111039053382
finance japan,0.07135260662174399
current growth rate,0.07194611026778724
gdp increased,0.0723678037415005
imports rate,0.07383946397006282
sna changed recent,0.07481900873119017
japanese,0.0750678085221722
ministry of internal,0.07609193490914219
ministry of health,0.0765541563095002
gdp is released,0.07664244066242112
capita gdp,0.07668981244274888
author,0.07692137207813819
level,0.07692137207813819
gdp capture,0.07809952705882897
cabinet office,0.07953695018141613
nobuo iizuka,0.08045370797924582
average,0.08074845100312406
increase in gdp,0.08325423059974951
current,0.08401499809907223
excluding asia china,0.08402316364971323
month exports,0.08506897341739139
side of gdp,0.08645428826230701
income-side gdp,0.08649526666635131
gdp introducing,0.08682375815338648
statistics of japan,0.08702688304630132
ratenominal gdp,0.08742281861895923
revised,0.08777438014300018
imports china,0.08968292907533962
japan foreign,0.09125844059901611
revised sna changed,0.0924910553708813
sources calendar,0.09317722817531077
accounts,0.09361542769432764
national,0.094527998946322
level by nobuo,0.09561873618340722
japan balance,0.09646577453819938
february,0.0966477626672767
spotlight,0.09759170325719844
mar.,0.0980231684992741
sep.,0.09849539237670088
aug.,0.09849539237670088
jul.,0.09849539237670088
oct.,0.09849539237670088
apr.,0.09849539237670088
jun.,0.09849539237670088
may.,0.09849539237670088
statistics increase,0.09861207157189011
calendar,0.09868518423717192
quarter and month,0.09919334259020612
sources,0.09948403182674947
months,0.09986580821620221
finance,0.09996290953556482
asia,0.10132229097525886
japan center,0.10163486148432888
labour,0.10270105647068536
foreign trade,0.10324457516353845
recent records,0.10434350777662256
indicators for japan,0.10914620722079806
accounts of japan,0.10945086677834732
demand-side statistics,0.10950148406199217
production,0.1111726786670996
estimate is released,0.11150969181382701
amount rate,0.11175449485872115
records of gdp,0.11262415544213104
december,0.1130638008896876
gdp increased roughly,0.11632627775110735
financial statements,0.11700319509364793
