Keyword,Score
consumer goods companies,0.0003031328968778839
consumer goods,0.0005877876285394869
consumer goods practice,0.001218534767074625
goods companies,0.0021168251479814345
consumer,0.002325199510828104
goods,0.004200630828758924
companies,0.004397554745591331
large consumer goods,0.004892038095996768
getty images,0.005645336540697518
consumer goods deals,0.007755153775090608
goods practice,0.00865402160965717
consumer goods sector,0.009338562858574024
consumer goods manufacturers,0.010402906816131888
ending june,0.01480944608155978
implications for consumer,0.0148809516560156
crisis,0.017106701065949765
brands,0.017115968900467356
consumer sector trends,0.017905814162410973
encourage consumer goods,0.01818090886504895
consumer sectors,0.02033774982553624
require consumer goods,0.020607386838557548
evaluated consumer goods,0.02136130816583679
common consumer goods,0.02150146929702266
normal,0.02150158616976591
influenced consumer goods,0.021852970272482494
june,0.022748576540562216
scaled consumer goods,0.02275406272634914
consumers,0.02286446185647635
normal in consumer,0.022923125355730337
implications,0.0231318907587443
goods companies strategies,0.02659080981530409
gfc,0.027890415761573306
practice,0.0300367073229023
impact,0.03131279399791436
goods deal archetypes,0.031344833809794075
large consumer,0.031888624271157295
growth,0.03194598350084789
large,0.033617041834785165
weeks ending june,0.033715276880942266
capabilities,0.03483965774081769
deal,0.03542830237905564
deals,0.03542830237905564
exhibit,0.035436387680528925
financial,0.03863453585437024
weeks,0.039606769835926384
deal archetypes,0.040190160635929284
challenger brands,0.04101563670137478
company,0.041100392767105504
manufacturers,0.04195718305824583
brand,0.044012491458344634
ending,0.04656376334706743
portfolio,0.046665526829967344
partner,0.047692536087342904
large manufacturers,0.050531791957654656
office,0.05071288897881147
consumer deals,0.05108586767416543
acquisitions,0.05182126242576958
goods deal,0.0532959476088213
weeks ending april,0.056344158792029864
partnerships,0.05733095224364946
trends,0.05755054738178427
percent,0.05910956630309442
global financial crisis,0.060815439320325966
weeks ending,0.06362372491413679
goods sector,0.0636788279015358
target,0.06486515267840806
challenger,0.06535233344414862
supply,0.06594021076427933
consumer trends,0.0674197129779119
rodrigo slelatt june,0.06878339006767754
april,0.06944207873057748
sector,0.06986181483590903
goods manufacturers,0.07056780673794184
tsr,0.0724239567575205
larger companies,0.07482853181008377
getty,0.07492426590859229
images,0.07492426590859229
financial crisis teach,0.07746501880007288
smaller,0.07801681000194428
archetypes,0.07871598536901817
portfolios,0.08399794829394121
current,0.08438624718878643
sara hudson,0.08503170339437888
financial crisis,0.08506909308667616
stefan rickert,0.08523538427028422
rodrigo slelatt,0.0864729167534586
activity,0.09041296050083795
increased consumer,0.0908310353999065
heritage brands,0.0938511115474104
encourage companies,0.09539821266788885
ending april,0.09642684922402311
consumer demand,0.10003606503412202
consumer focus,0.10006598608808576
larger,0.10068628628665549
increased,0.1011610420342122
opportunity,0.10124816849549804
balance,0.10145040485111023
digital,0.10200218968768415
business,0.10248278576342537
valuations,0.10335523562268184
role,0.10344057225022137
harris atmar,0.10393023685303675
strategy,0.1041812072879174
mckinsey,0.104621363995504
diligence,0.10597910747817654
supply chains,0.1067133566783953
goods manufacturers represented,0.1108162451116945
encourage consumer,0.11359665086278993
consumer bases,0.11365328233957567
slelatt june,0.11488936290377841
core consumer,0.11587545557728532
archetype,0.11807397805352725
economic,0.11821903555729363
consumer scrutiny,0.11837504088454091
sector trends,0.11956956022188385
consumers trust,0.1219925297853748
loyal consumer,0.12562444241380938
challenger deal archetypes,0.12597420783712968
approach,0.12625577852326728
heightened consumer,0.12691001691446568
categories,0.1269306554788501
require consumer,0.12723272379387732
consumer preferences,0.12768840837893794
global,0.12780137933462563
consumers spending,0.1280577934403984
today,0.12815524693515237
associate partner,0.1282264400010968
anish koshy,0.12878089499303946
smaller challenger brands,0.12937872205894096
expect,0.12978285281514415
delivery,0.13010010961720592
e-commerce,0.13078874742625218
evaluated consumer,0.13140400838746294
common consumer,0.13217612046815214
make,0.13236093622714257
demand,0.13257677105495105
businesses,0.1330181230119094
post-crisis,0.1331008882657637
strategies,0.13330802643214362
smaller companies,0.13337247992302392
influenced consumer,0.13410783161510748
consumer awareness,0.13540842320647842
increasing consumer,0.13596831052914798
increased consumer scrutiny,0.13637884344917506
led consumers,0.13644281411103404
lessons,0.13734294451980825
global financial,0.138775241397901
scaled consumer,0.13902992065413514
winning consumers,0.13902992065413514
sectors,0.13972362967181806
data,0.14007988181278577
satisfy consumer,0.1409622241965487
consumer segments,0.14132629757831963
chains,0.14177481863323887
crisis teach,0.1418735674022651
large manufacturers portfolios,0.1434949930923875
nestle,0.14357290445673726
divestitures,0.14548618025123392
brand charlotte tilbury,0.14630045708663492
balance sheets,0.14814522795702992
brand portfolios,0.14862463573284948
capital,0.14926169083663968
stefan,0.14984355859487436
sara,0.14984355859487436
anish,0.1504226697968211
poses staggering health,0.15060369950128416
poses staggering,0.15067419534815657
atmar,0.1507109850546312
hudson,0.1507109850546312
understanding,0.15080505169758995
slelatt,0.15099847738351452
rickert,0.15099847738351452
shift,0.15102942942998324
koshy,0.151285149747323
rodrigo,0.15157100510102706
sheets,0.15282032734210882
large brands,0.15558955905029112
economic impact,0.15842749128088202
market,0.15854752419285048
private,0.15984367037581876
assets,0.16041129444788527
big brands,0.16202068149323742
health,0.16319645532351698
focus,0.16576602255432352
interest,0.1663452317667603
companies strategies,0.16771436440148302
scale,0.17109274119760942
evolve,0.1721560651178995
retailers,0.1723592221358727
last-mile,0.17262116586073403
importance,0.17281656067808046
analysis,0.1729280467466905
heavily,0.1730875472734018
article,0.17410191800985572
attractive,0.17455126276327484
large listed companies,0.17472649553989492
harris,0.1752311062740099
including,0.175888081336624
adjacencies,0.17593397279309092
opportunities,0.1763342528637132
equity,0.17638665425590658
hamburg office,0.17666889601926908
miami office,0.17666889601926908
jersey office,0.17666889601926908
london office,0.17666889601926908
chicago office,0.17666889601926908
competitive,0.17677179933467208
associate,0.17771140138298475
brand lily,0.17776275913208658
cash,0.1780275192921997
brand charlotte,0.17861756114837557
greg kelly,0.17893197918391845
isabella cheng,0.17893197918391845
warren teichner,0.17893197918391845
raj shah,0.17893197918391845
adam chiavacci,0.17893197918391845
gizem gunday,0.17893197918391845
jessica moulton,0.17893197918391845
jorge adib,0.1797369048868487
kristi weaver,0.18054641446010625
crisis koshy,0.18382337082659217
companies continue,0.18398981588056385
median tsr,0.18798807819463778
gfc outperformed,0.18836634783522377
time,0.18862891575172208
chain,0.18903309151098519
gfc worth,0.18953733568030812
brand target,0.19029638597528517
challenger deal,0.19342075178024526
smaller brands,0.2022872240114443
last-mile delivery,0.20385283552154446
percent tsr,0.2066189521185513
assessing,0.208450440172883
financial impact,0.2091825358410717
advantages,0.20994159279432498
advantage,0.20994159279432498
products,0.21024997499957718
e-commerce capabilities,0.2104102112117955
multiple,0.21044716553824422
food-service companies,0.21453188590638358
increasing consumer focus,0.21475629716700548
resilient companies,0.21737238275402493
year,0.21885364847918468
provide,0.2202964238977092
deal archetypes post-crisis,0.22037932476613362
companies focused,0.22575751926187826
global effort,0.22796535740262733
large producers,0.22977185565426822
nielsen,0.23513654299857759
increase,0.2354366033111228
reassess,0.23719995434199354
heritage,0.2376997592372449
deal activity,0.23791587101965478
loyal consumer bases,0.23912049920384326
companies attributes,0.2392765790037914
preqin,0.2396476698491166
producers,0.24015167475725116
continue,0.2403904600033763
manufacturers portfolios,0.24044462421252427
inaccessible companies,0.241169289824962
leading,0.24137730803331214
distressed companies,0.24138823629534362
companies divested,0.24147131786840012
reward companies,0.24147131786840012
well-performing companies,0.2415119597754199
listed companies,0.2415915197066698
resilience,0.2418484552297903
stronger,0.24229705797047787
companies deploying,0.24264861352318415
lower,0.2435244842838724
strategic,0.24389893472144672
lily,0.244950863767571
purina,0.24578995981227506
charlotte,0.24595024415647498
analytics,0.24641989862022334
snapping,0.24694853080427964
encourage,0.2478586740043494
debt,0.24790270537922754
acquiring,0.24834002292483637
control,0.24914496122214055
build,0.24969562510851678
https,0.25001512111204904
median,0.25152194825764856
manage,0.25168262308146006
critical,0.25222338034334435
core,0.25231451801542215
