Keyword,Score
company,0.0004949126249485346
company mckinsey,0.0007198351098871683
total cases total,0.0011474755290900415
public health,0.0011621375410895034
return,0.0012125156745072959
oxford economics source,0.0012211194568984788
mckinsey,0.0012405788815412185
public health response,0.0012858416382019815
source,0.0019874382376583555
public health measures,0.002133645401386616
cases total deaths,0.0022430160154981262
oxford economics mckinsey,0.0024946430896640908
china united states,0.0025742470501443036
health,0.002863401752635026
cases,0.0029845477234379165
effective public health,0.0031814287864071113
large international company,0.0033891830371297694
return plan,0.003513714872265371
virus,0.003748354103940012
public health interventions,0.0038266885088765394
center return return,0.003878541137409746
states eurozone world,0.0039452131473360795
united states,0.004484472982453149
return deep-dives mckinsey,0.004509204428592804
workforce,0.004591120220198263
united states eurozone,0.004618209324778807
health response,0.004760646134746739
return plan mckinsey,0.004773582495001049
john hopkins university,0.004829979877483768
total cases,0.0048301942233732135
work,0.004857360997374205
oxford economics,0.004870671127199277
public health websites,0.004908185151398477
public,0.004973187452288379
economics source,0.004974504456921851
workforce return,0.004984359770867138
measures,0.00527387845322458
virus mckinsey,0.005409182223435009
health response return,0.005466785623002652
cases total,0.005520221969569387
oxford economics current,0.005566470355742789
south korea,0.005591292016819912
international company websites,0.0056409778608888595
nerve center,0.00574035529658444
company websites,0.0057912224907228724
specific client source,0.005950015299076159
economic,0.0060596063512335764
business,0.006383770490031461
transmission,0.006630423666393775
workforce return plans,0.006651981791554616
normal macro-economic scenarios,0.006697315543174476
world,0.006720178467659408
macro-economic scenarios metamorphosis,0.006735337771558024
international company,0.0067790529145302265
time,0.006876463902378958
return plan phase,0.007033211506670715
countries,0.007087728403103072
response,0.007286644315637069
effective economic interventions,0.007321175693677289
growth returns virus,0.007391987286073828
economic policy responses,0.007473697939907449
health measures,0.007492536167422315
mckinsey analysis mckinsey,0.007601451667823178
china total cases,0.008000708872481669
change return,0.008023243122471305
health responses mckinsey,0.008143558365844267
total,0.008468423129903471
return mindful return,0.008497481675730653
plan,0.008544571483465194
testing,0.008552892587462875
public health economic,0.008561325410284532
scenarios,0.008705935283938374
return phases,0.008760495417892719
china,0.008820686881491402
april,0.008895612488271688
sources,0.0089434720694626
world health organization,0.009110627001595878
growth,0.009348730718935244
total deaths,0.009401342351024782
plan ahead team,0.009498629146291872
demand return,0.009542563154578309
virus spread return,0.009618751612905837
return plan intervention,0.009640527740926939
phase,0.009670377580782583
states,0.009681658008817404
real gdp,0.009736132329759591
hopkins university,0.00979417015800836
crisis,0.009860471497474713
apr,0.010063729745113732
economics mckinsey,0.010067813077363796
interventions,0.01032706208946669
effective,0.010342860730926611
march,0.010597972837484699
client source,0.010697455339116951
mckinsey analysis,0.010763135191780236
real gdp drop,0.010829575195189388
real estate company,0.010918462509999238
increase,0.011078205660704613
current,0.011124046521681995
case,0.011235944370589805
america total cases,0.0112523024458759
state,0.011496968885470667
reopening,0.011509763702803422
growth returns,0.011746680348613484
returns ineffective economic,0.011789765632006398
safe workforce return,0.011810454788575609
limited,0.011900199001415016
economic interventions,0.011936280551825927
return source,0.011983664926389862
nerve center return,0.01202309913219389
incremental cases,0.012143265850843436
behavioral health,0.012195781530816744
travel,0.012241417366084022
return return,0.012324728281305451
germany,0.012356079238971921
monitor return phases,0.012399836100449793
case growth,0.012523694015148884
impact,0.012680320095202468
cases south korea,0.012695601742544166
initial return plan,0.012818069249742941
uncertainty,0.012819228027779227
response tracker mckinsey,0.012859172579531147
teams,0.012913328374552634
south america total,0.012918956094753518
muscle regulatory uncertainty,0.012937506762395287
china united,0.013045001676816975
remote work,0.01306805347798474
daily case rate,0.013082778018205048
world recovery virus,0.013266369468904015
south,0.013561874287640973
virus recurrence,0.013706771449186783
economic policy,0.013727657362269576
virus spread,0.013775989819240886
lockdown,0.013788963088537585
daily incremental cases,0.01380861282940886
united states united,0.013893675662256494
remote,0.01411962024533013
based,0.014183654881238633
increase response apr,0.014277715533732492
government,0.0144129612007933
return priorities mckinsey,0.014478181678486992
america united states,0.014530044375582949
scenarios metamorphosis,0.01460816203541176
macro-economic scenarios,0.014665635555660592
center,0.01480858712590833
employees,0.014856560701209116
altered workforce understanding,0.014944206013484855
university,0.01496073192937101
return plan establish,0.01499281155949979
cases reopening mar,0.015039462587973243
workforce understanding,0.015043799695482406
nerve,0.015057204728779437
improving return plan,0.015070131844366931
economics,0.015149015878083942
health interventions public,0.01530675403550616
interventions public health,0.01530675403550616
economic interventions current,0.015385159091358395
oxford,0.015400758211605726
regulatory uncertainty,0.015401145721859522
effective public,0.01546026383309727
growth returns large,0.015472540272699195
europe total cases,0.015485375848293187
antibody testing,0.015487548812105203
health interventions,0.01554772498018089
johns hopkins,0.015576850573586399
gdp,0.01558963716118342
crisis level quarter,0.01570363939883319
health response slow,0.015941810814767993
states eurozone,0.0161420770751369
critical,0.016231622425524006
mar,0.016317274493244688
change,0.01657728666502035
ability,0.016599631170970287
return muscle,0.016762073241478055
consumer,0.016841380381609393
public health situation,0.016905748233375414
industry,0.01704030323147512
mckinsey guidance,0.017125137311424544
partially effective economic,0.017286539505182722
plan ahead,0.017357424041702957
return workforce advisory,0.01740020336348418
interventions return policy,0.017481790295463543
social,0.017586462196308304
china reopening changes,0.017897172332837635
develop,0.017902150945107057
work common,0.01795535898836654
deaths,0.017956673255682166
muscle,0.018080120712822976
focus,0.01817589379403625
specific,0.018254470195886392
return strategy,0.018264691922857828
begin workforce return,0.018337237973022946
build,0.018629582735704885
spread,0.018651782866969058
economies real gdp,0.018767672779257553
slow long-term growth,0.018773740682781
daily,0.018840888669507994
health websites,0.019051503582035077
levels,0.01929786709197688
united states brazil,0.019376923257589794
gdp growth,0.019438054276223672
united,0.019658285885336173
eurozone world,0.019722132260298654
health interventions changes,0.019787075339494965
social distancing,0.01983070189243489
large,0.01993082025251122
digital,0.020115970083291752
state source,0.020139576609310466
japan south korea,0.02024798391273212
