,keywords,number_of_times_word_appeared,tf,idf,tf_idf
201,in,398,0.017385986370784555,-5.986452005284438,-0.1040803729732311
387,an,350,0.015289183994408527,-5.857933154483459,-0.08956301782584355
1181,re,299,0.013061331469508998,-5.700443573390687,-0.0744553830352881
648,he,267,0.011663463218591647,-5.58724865840025,-0.06516666922037684
687,on,240,0.010484011881880133,-5.480638923341991,-0.057459083592612176
920,at,223,0.00974139437358029,-5.407171771460119,-0.05267339267148377
269,the,219,0.009566660842215621,-5.389071729816501,-0.051555421493526724
119,to,209,0.00912982701380395,-5.342334251964811,-0.04877458757035844
817,or,192,0.008387209505504107,-5.2574953720277815,-0.04409571515941526
738,and,166,0.007251441551633759,-5.111987788356543,-0.03706928065993299
1094,it,151,0.00659619080901625,-5.017279836814924,-0.033094935145861155
1170,is,126,0.00550410623798707,-4.836281906951478,-0.026619409412715633
951,us,98,0.004280971518434387,-4.584967478670572,-0.019628115189136642
547,of,81,0.0035383540101345447,-4.394449154672439,-0.015549116788767586
537,as,79,0.00345098724445221,-4.3694478524670215,-0.015078908804162794
296,be,60,0.002621002970470033,-4.0943445622221,-0.010731289259711953
932,no,52,0.0022715359077406954,-3.951243718581427,-0.008975391986992582
147,for,48,0.0020968023763760267,-3.871201010907891,-0.008117143479100943
779,era,48,0.0020968023763760267,-3.871201010907891,-0.008117143479100943
223,will,43,0.0018783854621701906,-3.7612001156935624,-0.007064983617631627
710,so,35,0.0015289183994408528,-3.5553480614894135,-0.005435837067627533
7,are,34,0.0014852350165996855,-3.5263605246161616,-0.0052374741323147605
475,all,30,0.0013105014852350166,-3.4011973816621555,-0.004457274220245704
1031,that,30,0.0013105014852350166,-3.4011973816621555,-0.004457274220245704
86,up,29,0.0012668181023938493,-3.367295829986474,-0.004265751313542187
613,new,29,0.0012668181023938493,-3.367295829986474,-0.004265751313542187
469,we,28,0.0012231347195526823,-3.332204510175204,-0.004075735029045331
478,their,28,0.0012231347195526823,-3.332204510175204,-0.004075735029045331
579,our,25,0.0010920845710291804,-3.2188758248682006,-0.003515284624397388
176,customer,25,0.0010920845710291804,-3.2188758248682006,-0.003515284624397388
592,if,25,0.0010920845710291804,-3.2188758248682006,-0.003515284624397388
30,how,24,0.0010484011881880134,-3.1780538303479458,-0.0033318754118622533
1212,they,24,0.0010484011881880134,-3.1780538303479458,-0.0033318754118622533
388,digital,24,0.0010484011881880134,-3.1780538303479458,-0.0033318754118622533
627,companies,23,0.001004717805346846,-3.1354942159291497,-0.003150286867306065
860,ins,23,0.001004717805346846,-3.1354942159291497,-0.003150286867306065
361,rate,23,0.001004717805346846,-3.1354942159291497,-0.003150286867306065
153,The,23,0.001004717805346846,-3.1354942159291497,-0.003150286867306065
80,this,21,0.0009173510396645116,-3.044522437723423,-0.0027928958235275154
1047,end,20,0.0008736676568233444,-2.995732273553991,-0.0026172743959059852
877,do,20,0.0008736676568233444,-2.995732273553991,-0.0026172743959059852
66,leaders,19,0.0008299842739821772,-2.9444389791664407,-0.002443838048408281
753,work,19,0.0008299842739821772,-2.9444389791664407,-0.002443838048408281
303,with,19,0.0008299842739821772,-2.9444389791664407,-0.002443838048408281
712,business,19,0.0008299842739821772,-2.9444389791664407,-0.002443838048408281
1205,operation,19,0.0008299842739821772,-2.9444389791664407,-0.002443838048408281
895,act,19,0.0008299842739821772,-2.9444389791664407,-0.002443838048408281
821,have,18,0.0007863008911410099,-2.890371757896165,-0.002272701888962562
884,In,17,0.0007426175082998427,-2.833213344056216,-0.0021039938340448924
539,can,17,0.0007426175082998427,-2.833213344056216,-0.0021039938340448924
1135,operations,17,0.0007426175082998427,-2.833213344056216,-0.0021039938340448924
1192,over,17,0.0007426175082998427,-2.833213344056216,-0.0021039938340448924
616,not,17,0.0007426175082998427,-2.833213344056216,-0.0021039938340448924
101,model,16,0.0006989341254586755,-2.772588722239781,-0.0019378568738352478
1211,even,16,0.0006989341254586755,-2.772588722239781,-0.0019378568738352478
1020,more,16,0.0006989341254586755,-2.772588722239781,-0.0019378568738352478
814,by,16,0.0006989341254586755,-2.772588722239781,-0.0019378568738352478
499,need,16,0.0006989341254586755,-2.772588722239781,-0.0019378568738352478
763,tech,15,0.0006552507426175083,-2.70805020110221,-0.0017744519053177158
620,go,15,0.0006552507426175083,-2.70805020110221,-0.0017744519053177158
1058,very,15,0.0006552507426175083,-2.70805020110221,-0.0017744519053177158
158,COVID,14,0.0006115673597763411,-2.639057329615259,-0.0016139613233712052
394,ever,14,0.0006115673597763411,-2.639057329615259,-0.0016139613233712052
385,crisis,14,0.0006115673597763411,-2.639057329615259,-0.0016139613233712052
446,organization,13,0.0005678839769351739,-2.5649493574615367,-0.0014565936417525764
768,one,13,0.0005678839769351739,-2.5649493574615367,-0.0014565936417525764
699,team,13,0.0005678839769351739,-2.5649493574615367,-0.0014565936417525764
189,has,13,0.0005678839769351739,-2.5649493574615367,-0.0014565936417525764
1121,use,13,0.0005678839769351739,-2.5649493574615367,-0.0014565936417525764
257,fast,12,0.0005242005940940067,-2.4849066497880004,-0.0013025895420870177
735,company,12,0.0005242005940940067,-2.4849066497880004,-0.0013025895420870177
1173,value,11,0.0004805172112528394,-2.3978952727983707,-0.0011522299493614396
364,decision,11,0.0004805172112528394,-2.3978952727983707,-0.0011522299493614396
1071,develop,11,0.0004805172112528394,-2.3978952727983707,-0.0011522299493614396
242,customers,11,0.0004805172112528394,-2.3978952727983707,-0.0011522299493614396
660,way,11,0.0004805172112528394,-2.3978952727983707,-0.0011522299493614396
727,recover,10,0.0004368338284116722,-2.3025850929940455,-0.0010058470614162352
238,turn,10,0.0004368338284116722,-2.3025850929940455,-0.0010058470614162352
1072,quick,10,0.0004368338284116722,-2.3025850929940455,-0.0010058470614162352
615,its,10,0.0004368338284116722,-2.3025850929940455,-0.0010058470614162352
8,led,10,0.0004368338284116722,-2.3025850929940455,-0.0010058470614162352
844,making,9,0.00039315044557050496,-2.1972245773362196,-0.0008638398215981991
5,example,9,0.00039315044557050496,-2.1972245773362196,-0.0008638398215981991
322,chain,9,0.00039315044557050496,-2.1972245773362196,-0.0008638398215981991
646,demand,9,0.00039315044557050496,-2.1972245773362196,-0.0008638398215981991
642,To,9,0.00039315044557050496,-2.1972245773362196,-0.0008638398215981991
864,these,9,0.00039315044557050496,-2.1972245773362196,-0.0008638398215981991
179,cost,9,0.00039315044557050496,-2.1972245773362196,-0.0008638398215981991
1048,quickly,9,0.00039315044557050496,-2.1972245773362196,-0.0008638398215981991
186,adapt,9,0.00039315044557050496,-2.1972245773362196,-0.0008638398215981991
748,better,9,0.00039315044557050496,-2.1972245773362196,-0.0008638398215981991
417,accelerate,9,0.00039315044557050496,-2.1972245773362196,-0.0008638398215981991
255,data,9,0.00039315044557050496,-2.1972245773362196,-0.0008638398215981991
411,also,8,0.00034946706272933774,-2.0794415416798357,-0.0007266963276882179
319,revenue,8,0.00034946706272933774,-2.0794415416798357,-0.0007266963276882179
666,term,8,0.00034946706272933774,-2.0794415416798357,-0.0007266963276882179
