,keywords,number_of_times_word_appeared,tf,idf,tf_idf
881,Reimagining postCOVID19 return,8,0.00044890859098816,-2.0794415416798357,-0.0009334791725177424
4221,thriving Reimagining,8,0.00044890859098816,-2.0794415416798357,-0.0009334791725177424
4186,surviving thriving,8,0.00044890859098816,-2.0794415416798357,-0.0009334791725177424
3936,surviving thriving Reimagining,8,0.00044890859098816,-2.0794415416798357,-0.0009334791725177424
4171,postCOVID19 return,8,0.00044890859098816,-2.0794415416798357,-0.0009334791725177424
599,thriving Reimagining postCOVID19,8,0.00044890859098816,-2.0794415416798357,-0.0009334791725177424
4133,From surviving,8,0.00044890859098816,-2.0794415416798357,-0.0009334791725177424
443,From surviving thriving,8,0.00044890859098816,-2.0794415416798357,-0.0009334791725177424
3849,Reimagining postCOVID19,8,0.00044890859098816,-2.0794415416798357,-0.0009334791725177424
4270,decision making,7,0.00039279501711464004,-1.9459101490553135,-0.0007643438103017336
773,supply chain,6,0.00033668144324112005,-1.791759469228055,-0.0006032521640406448
1147,operating model,5,0.0002805678693676,-1.6094379124341003,-0.0004515565659710735
2754,digital solution,5,0.0002805678693676,-1.6094379124341003,-0.0004515565659710735
2042,supply chains,5,0.0002805678693676,-1.6094379124341003,-0.0004515565659710735
2273,competitive advantage,5,0.0002805678693676,-1.6094379124341003,-0.0004515565659710735
3611,next normal,5,0.0002805678693676,-1.6094379124341003,-0.0004515565659710735
2718,demand patterns,4,0.00022445429549408,-1.3862943611198906,-0.00031115972417258077
1964,digital solutions,4,0.00022445429549408,-1.3862943611198906,-0.00031115972417258077
2854,faster better,4,0.00022445429549408,-1.3862943611198906,-0.00031115972417258077
4290,companies need,3,0.00016834072162056002,-1.0986122886681098,-0.00018494118545560459
3800,new data,3,0.00016834072162056002,-1.0986122886681098,-0.00018494118545560459
2287,decisions faster,3,0.00016834072162056002,-1.0986122886681098,-0.00018494118545560459
2445,value creation,3,0.00016834072162056002,-1.0986122886681098,-0.00018494118545560459
149,It ’,3,0.00016834072162056002,-1.0986122886681098,-0.00018494118545560459
687,new operating,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2072,new operating model,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3133,Brazil ’,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3330,For example,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2697,value chains,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
4260,two three,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2665,possibility enduring source,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2339,cross functional,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2668,teams built,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2334,customer expectations,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1481,COVID19 emergency,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3835,new use,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
912,ahead competition,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
4098,deal COVID19,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
957,new level,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1031,sense possibility,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1585,hurry deal COVID19,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3322,operating models,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3162,reflecting small nimble,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2092,supply chains service,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3576,ago Maintaining,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
915,operations resilience,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2094,Successful companies,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2922,health safety,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3323,data analytics,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1479,crisis organizations,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
671,possible months,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
4201,Companies need,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
928,worked faster,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1528,enduring source competitive,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
187,customer connectivity,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2036,For many,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
946,enduring source,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
229,nimble teams built,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1777,current crisis businesses,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2411,crisis businesses,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2628,develop new,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1305,end customer,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3088,built hurry,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
745,worked faster better,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
211,percent business,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2397,company leaders,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3626,digital tech,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
749,businesses worked faster,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1331,dreamed possible months,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2594,new use cases,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1494,nimble teams,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3886,creating new,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
496,made important,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1268,Many leaders,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1008,current crisis,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
4198,crisis businesses worked,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
4112,use cases,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3380,World Cup,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
4113,small nimble,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1540,leaders see,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2427,emergency made,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3117,During current crisis,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1889,across every,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
482,back stronger,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
176,consumer demand,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2647,Companies also,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
992,important decisions faster,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3934,companies successfully,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
90,business leaders,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1367,There four,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2561,possibility enduring,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
364,Maintaining sense,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
827,Many leaders reflecting,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2738,businesses worked,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2209,better dreamed possible,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
1181,COVID19 emergency made,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2251,source competitive,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
294,source competitive advantage,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
4308,around world,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3797,carrental company,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2159,long term,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2158,Bob Sternfels,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2489,customer experience,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
4296,” one,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
61,During current,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
2264,recover revenue,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
3550,months ago,2,0.00011222714774704,-0.6931471805599453,-7.778993104314519e-05
